,NO3,geometry,longitude,latitude,y_hat,error,y_cls
28,64.6,POINT (43.1799000000023 11.509599999999788),43.1799000000023,11.509599999999788,19.572469155184997,45.027530844815,1
29,6.55,POINT (43.178100000002296 11.510499999999787),43.178100000002296,11.510499999999787,18.408554252301016,11.858554252301015,1
30,48.6,POINT (43.14930000000225 11.513199999999786),43.14930000000225,11.513199999999786,67.34074937208547,18.740749372085467,3
31,23.6,POINT (43.11330000000219 11.514099999999786),43.11330000000219,11.514099999999786,33.20972178901502,9.609721789015019,2
32,53.4,POINT (43.13310000000222 11.514999999999786),43.13310000000222,11.514999999999786,52.84098412754298,0.5590158724570173,3
33,10.52,POINT (43.13580000000223 11.517699999999785),43.13580000000223,11.517699999999785,39.3501686673753,28.8301686673753,2
34,375.0,POINT (43.13490000000223 11.518599999999784),43.13490000000223,11.518599999999784,79.18469415594785,295.81530584405215,3
35,19.450000000000003,POINT (43.15110000000225 11.518599999999784),43.15110000000225,11.518599999999784,47.70587731721762,28.255877317217617,2
36,21.48,POINT (43.16100000000227 11.518599999999784),43.16100000000227,11.518599999999784,21.766480335326662,0.2864803353266616,1
37,39.6,POINT (43.13670000000223 11.52669999999978),43.13670000000223,11.52669999999978,78.84390434158871,39.24390434158871,3
38,108.0,POINT (43.15650000000226 11.52669999999978),43.15650000000226,11.52669999999978,59.10546233079636,48.89453766920364,3
39,39.1,POINT (43.07100000000212 11.53029999999978),43.07100000000212,11.53029999999978,77.53164176258926,38.43164176258926,3
40,63.9,POINT (43.13490000000223 11.53209999999978),43.13490000000223,11.53209999999978,70.33681396812939,6.4368139681293925,3
41,176.0,POINT (43.13670000000223 11.53299999999978),43.13670000000223,11.53299999999978,83.25215785352628,92.74784214647372,3
42,353.0,POINT (43.13490000000223 11.53389999999978),43.13490000000223,11.53389999999978,82.30280571178255,270.6971942882175,3
43,57.9,POINT (43.13940000000223 11.53389999999978),43.13940000000223,11.53389999999978,67.68267148879934,9.782671488799345,3
44,90.0,POINT (43.13040000000222 11.538399999999776),43.13040000000222,11.538399999999776,59.56127305020871,30.43872694979129,3
45,43.6,POINT (43.029600000002056 11.540199999999777),43.029600000002056,11.540199999999777,48.738525981651335,5.138525981651334,2
46,150.0,POINT (43.04130000000208 11.541099999999776),43.04130000000208,11.541099999999776,79.07395015483637,70.92604984516363,3
47,42.8,POINT (43.13490000000223 11.541099999999776),43.13490000000223,11.541099999999776,53.503216843375384,10.703216843375387,3
48,52.7,POINT (43.00620000000202 11.541999999999776),43.00620000000202,11.541999999999776,47.92941505901365,4.770584940986353,2
49,40.3,POINT (43.12950000000222 11.541999999999776),43.12950000000222,11.541999999999776,72.78165273302889,32.481652733028895,3
50,58.8,POINT (43.12950000000222 11.543799999999775),43.12950000000222,11.543799999999775,59.770257551639304,0.9702575516393068,3
51,50.3,POINT (43.13040000000222 11.544699999999777),43.13040000000222,11.544699999999777,40.69181287091484,9.60818712908516,2
52,54.6,POINT (42.99990000000201 11.545599999999776),42.99990000000201,11.545599999999776,48.32152976290245,6.278470237097551,2
53,37.2,POINT (42.98460000000198 11.55639999999977),42.98460000000198,11.55639999999977,47.73742800296142,10.53742800296142,2
54,44.1,POINT (43.00080000000201 11.55999999999977),43.00080000000201,11.55999999999977,47.62246350888551,3.522463508885508,2
55,212.0,POINT (43.07010000000212 11.55999999999977),43.07010000000212,11.55999999999977,53.52882117491028,158.47117882508974,3
56,58.6,POINT (43.07100000000212 11.563599999999768),43.07100000000212,11.563599999999768,65.69311813801842,7.0931181380184185,3
57,37.2,POINT (43.07550000000213 11.575299999999764),43.07550000000213,11.575299999999764,33.929834999704816,3.2701650002951865,2
